Country Name,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Growth Rate,Entity_x,Year_x,Old-age dependency ratio,Entity_y,Year_y,Health expenditure per capita - Total,Entity,Year,life expectancy
Israel,ISR,110904,118280,128646,138439,148966,158848,167128,178404,185739,194194,204694,215994,227889,245181,261152,276013,290908,306096,320791,336059,348683,357641,364883,372125,379530,389880,399118,409467,421274,433360,451402,482580,501766,517678,534576,551550,567326,582643,595826,610675,627634,644647,660827,674877,687686,699653,710149,719189,728272,745741,763001,787052,818641,850586,881735,914247,948649,985515,1022619,1056886,1087906,1118024,1151191,1187506,3.529234078,Israel,2023,20.655157,Israel,2022,2948.262,Israel,2021,82.255
Italy,ITA,4774895,4880043,4980810,5066000,5168123,5287574,5414321,5549066,5674755,5805100,5958031,6121034,6282569,6439356,6604635,6768088,6922726,7083102,7250870,7412609,7493894,7505607,7476643,7385463,7330551,7432337,7631904,7837655,8051723,8268073,8481757,8698495,8915099,9117649,9309532,9519630,9733349,9916160,10083244,10248789,10423840,10594476,10767132,10960629,11186871,11425470,11619061,11766923,11894209,12005517,12096038,12252618,12492793,12844504,13183650,13364281,13508310,13635254,13753249,13775244,13892091,14002958,14177282,14373155,1.7390917,Italy,2023,38.002815,Italy,2022,3324.336,Italy,2021,82.8502
Japan,JPN,5405847,5560966,5719310,5899224,6093879,6288364,6512803,6768161,7008556,7234133,7442636,7736659,8019081,8337446,8659053,8999100,9342855,9708881,10089223,10478272,10861556,11234679,11613955,11976071,12326514,12737878,13187087,13652017,14146869,14696743,15310853,15989095,16688227,17380100,18076140,18774576,19503381,20271583,21054517,21810613,22584255,23420079,24245889,24992848,25630222,26326876,27178297,28084356,28918875,29663227,30225206,30651515,31457297,32602328,33762485,34745347,35512557,36141302,36650477,37077906,37352017,37436889,37443104,37439206,3.123686587,Japan,2023,50.12053,Japan,2022,5014.375,Japan,2021,84.7839
"Korea, Rep.",KOR,826436,859047,886582,910407,927539,944178,976203,1017480,1052102,1082838,1120169,1162815,1201229,1233638,1263084,1287887,1314351,1346036,1379387,1416458,1459183,1515995,1580774,1634845,1679345,1733164,1802525,1873485,1947433,2024294,2099486,2185624,2284254,2385778,2496912,2612720,2732364,2870936,3014044,3170604,3353550,3548716,3749902,3956369,4164400,4363900,4589185,4825056,5053487,5259533,5473792,5691117,5891279,6110977,6361571,6610311,6844554,7125615,7455735,7798729,8205194,8620024,9038119,9503947,4.061604877,South Korea,2023,25.912172,South Korea,2022,4223.628,South Korea,2021,83.6978
Lithuania,LTU,221547,231016,239439,247829,257850,269317,280841,291797,302231,311728,322126,334463,347076,359192,369059,375602,380281,384041,386382,386596,384248,380223,375701,371259,368462,368654,372377,379229,388367,397690,406064,414133,422485,430643,437323,444110,451940,460770,470518,480119,490786,502371,514102,525563,534887,540259,545200,551741,557398,560161,556914,552470,551776,553309,556983,559786,559412,558106,558730,563787,570717,576693,588872,609411,1.417895694,Lithuania,2023,30.410069,Lithuania,2022,2824.841,Lithuania,2021,73.7201
Luxembourg,LUX,33587,34355,35140,35863,36835,37868,38774,39666,40489,41368,42359,43280,44162,45199,46295,47197,47633,47963,48378,48908,49400,49348,48982,48453,48107,48355,48845,49191,49554,50041,50710,51666,52693,53763,54995,56346,57704,58778,59603,60468,60788,61137,62128,62971,63979,65164,66154,67090,68217,69483,70613,72008,73810,75935,78378,80729,82756,85135,87250,89555,91777,94378,98152,102655,1.734293819,Luxembourg,2023,21.846792,Luxembourg,2022,5545.776,Luxembourg,2021,82.6287
Latvia,LVA,224203,229009,233157,237607,243756,250555,256795,263475,270880,277940,284413,291135,297852,303961,309796,314640,318360,321753,324278,324540,322028,317364,312191,307785,304328,302052,302667,306703,312566,318387,322859,327298,330358,331486,332288,333768,337749,342999,347913,353108,358599,363797,370179,377491,383889,389138,393618,396843,397596,395172,390235,386935,387103,388763,391682,394486,396296,398156,399878,402903,406699,407331,410757,418524,0.88850289,Latvia,2023,33.8569,Latvia,2022,2787.699,Latvia,2021,73.5786
Mexico,MEX,1056878,1083466,1118833,1159890,1205281,1255913,1310477,1366558,1423473,1480540,1537889,1611882,1704251,1800254,1898738,1998891,2099337,2198593,2295957,2392166,2478428,2548218,2614124,2685289,2762401,2847039,2939601,3038590,3140991,3246296,3357088,3475178,3600771,3733715,3874190,4022966,4181360,4349968,4526749,4710741,4897885,5094643,5303000,5513284,5722657,5929198,6133312,6335396,6538249,6742719,6942537,7179160,7459617,7750137,8058072,8391070,8747777,9120471,9509632,9859108,10106622,10305738,10612344,11031795,3.817474312,Mexico,2023,11.898048,Mexico,2022,1041.369,Mexico,2021,70.2127
Netherlands,NLD,1033409,1063102,1093668,1121127,1149526,1178978,1208197,1238808,1268146,1296927,1326666,1355904,1383422,1411370,1442717,1474723,1501631,1529877,1562270,1595836,1628483,1655948,1679531,1699356,1718028,1747413,1784722,1820837,1857836,1890829,1920014,1948676,1975666,1999950,2022689,2046629,2069678,2093295,2117946,2141188,2166164,2194010,2220722,2247899,2280385,2316422,2351296,2389514,2440921,2504479,2566628,2654905,2766415,2862240,2949406,3030256,3107503,3187560,3268083,3350868,3426742,3498092,3595905,3707089,1.9948062,Netherlands,2023,31.145607,Netherlands,2022,5312.323,Netherlands,2021,81.6873
Norway,NOR,395171,405767,415999,425619,435290,445890,457441,469007,479745,489396,498426,507517,516924,526603,537303,548381,559216,570805,582273,592812,602789,612309,622707,633605,642357,652750,664691,673971,681681,688002,691746,694219,696033,695642,694891,694555,693786,692463,689682,685325,680759,677177,674558,673849,675957,680031,683979,689411,699042,713762,732505,755174,779371,801583,823484,844556,864739,885665,907662,930340,953777,978816,1006045,1034631,1.46183672,Norway,2023,28.497911,Norway,2022,6239.542,Norway,2021,83.2339
New Zealand,NZL,207421,209632,212847,215068,217861,220537,224393,229170,232530,235875,240439,245510,251323,257541,264386,272075,278484,284830,291748,297445,303510,309658,316411,322671,327882,334108,339202,347232,353383,360353,367996,390680,399187,407090,414889,422074,428924,435091,441004,445715,451541,457029,464893,473756,483191,494993,509843,522895,534436,547538,563576,581503,602360,625059,648556,670443,693353,715383,736926,760319,792972,814141,834533,873729,2.402023716,New Zealand,2023,25.889856,New Zealand,2022,4811.857,New Zealand,2021,82.4513
Poland,POL,1709077,1787486,1868877,1958264,2050688,2153489,2264351,2375865,2489315,2594491,2688621,2781781,2896271,3014443,3128173,3242293,3339911,3433079,3512742,3578121,3600938,3575454,3542605,3499053,3483906,3505876,3534381,3584717,3668557,3755469,3844818,3929422,4001835,4084823,4179970,4285993,4390270,4482928,4564617,4640578,4656719,4722316,4802917,4871891,4934770,4996762,5045499,5071331,5084629,5099929,5099871,5181069,5335892,5515594,5705544,5901853,6116248,6337238,6553583,6770311,6963590,7110148,6832114,6798227,2.001794059,Poland,2023,29.908493,Poland,2022,2488.808,Poland,2021,76.4572
Portugal,PRT,706577,722150,739247,751715,758161,772028,786644,796075,811341,822805,839412,855958,867110,880774,903672,956141,1002862,1028045,1056965,1087751,1118903,1144545,1165607,1181008,1194106,1215918,1244635,1272805,1301402,1332677,1363238,1393783,1425508,1455584,1485436,1517271,1549113,1581155,1613246,1641146,1674526,1712907,1745264,1773700,1803370,1830600,1854066,1877657,1903081,1933286,1965930,1997988,2026030,2057093,2093394,2128885,2164536,2200668,2233473,2265187,2295912,2337699,2383516,2452868,2.013085028,Portugal,2023,38.23013,Portugal,2022,3480.329,Portugal,2021,81.0443
Slovak Republic,SVK,279954,296394,307532,318539,331552,346313,360879,375263,389179,401925,412162,421210,433156,447020,461606,474889,485962,496701,507083,517113,518859,509162,495414,479963,475130,481524,491187,504531,518388,530384,539774,546324,552251,560143,568927,577788,586332,594693,600965,605402,608042,610334,614001,618128,623462,630130,637767,645971,654822,665665,675644,686080,702456,723380,746333,771464,800101,830331,859949,889914,918403,938476,922176,919404,1.697667684,Slovakia,2023,27.32183,Slovakia,2022,2581.432,Slovakia,2021,74.9101
Slovenia,SVN,122283,125163,128462,132351,136983,142889,149798,156210,161483,165920,170544,175418,180175,184947,189468,194778,200424,205302,209684,213315,213935,209524,203565,198257,195127,195282,198874,203538,207125,210915,215174,219804,224427,229298,234875,241877,249313,256112,262300,269123,276452,283522,289829,294547,299261,304740,310798,317979,323931,330824,333020,335940,342972,350942,359799,369266,378452,387678,398690,411218,422607,432176,442654,454291,2.014276556,Slovenia,2023,33.431168,Slovenia,2022,3286.08,Slovenia,2021,80.6904
Sweden,SWE,879042,897378,916015,934515,954918,977921,1003057,1027340,1048975,1072508,1101803,1130507,1155276,1179289,1205821,1233317,1258720,1285215,1311453,1334506,1353912,1369424,1384365,1398641,1411976,1433145,1458905,1478630,1493699,1509247,1523804,1532874,1537643,1540949,1547091,1551575,1550209,1547043,1542348,1535993,1531731,1531389,1532906,1537272,1546490,1556703,1569778,1592536,1625488,1667583,1713176,1757323,1799295,1840599,1882148,1919828,1955588,1990782,2022999,2052649,2074063,2094024,2123501,2152265,1.3693725,Sweden,2023,32.96824,Sweden,2022,5309.833,Sweden,2021,82.9833
Turkiye,TUR,1148456,1195926,1243258,1294934,1350359,1406875,1457414,1503013,1549776,1597389,1645969,1698128,1752772,1806801,1859602,1909120,1945265,1972175,2003018,2037793,2069686,2098080,2132251,2173093,2217752,2265916,2317918,2373887,2434157,2498919,2568003,2641782,2719843,2801524,2886241,2973018,3062122,3153299,3246659,3341823,3440798,3545766,3654829,3768736,3887810,4009531,4132457,4239023,4369018,4504714,4651932,4807954,4967228,5144295,5339706,5542738,5739142,5910797,6198280,6565751,6822614,7050487,7338584,7624509,2.956654051,Turkey,2023,14.669032,Turkey,2022,1653.348,Turkey,2021,76.0324
United States,USA,16676728,17102576,17489504,17886003,18265103,18563535,18828051,19182094,19497559,19738458,20101763,20515369,20938787,21427820,21958933,22559952,23231530,23928436,24570243,25149864,25627777,26116560,26595157,27001838,27503370,28102304,28621138,29073381,29708566,30296884,30664878,31184733,31799644,32301040,32848593,33400936,33809937,34120304,34375471,34590275,34755721,35042477,35341824,35619261,36028870,36526333,37064967,37677408,38531316,39439341,40299692,41347761,42638513,43904126,45005701,45954694,47402094,48983844,50325557,51849212,53784941,55382102,57083129,58904562,2.010845964,United States,2023,26.799246,United States,2022,10331.449,United States,2021,77.1982
